enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,tokenizedEquity
True,False,1e-05,1.0,1.0,0.19467,0.19468,0.19562,0.19468,future,,,BRZ,False,False,0.00010274324463166547,-0.0003081031118414296,-0.0003081031118414296,2063.58805,2063.58805,
True,False,1e-05,1.0,1.0,0.19463,0.195,0.19526,0.195,future,,,BRZ,False,False,0.0019010430046755382,0.0019010430046755382,0.0019010430046755382,0.0,0.0,
True,False,1e-05,1.0,1.0,0.19442,0.19442,0.1947,0.19442,spot,BRZ,USD,,False,True,-0.001438109912686184,-0.0012329189355799856,-0.001386820072936463,11330.12744,11330.12744,
True,False,1e-05,1.0,1.0,0.1942,0.19397,0.19438,0.1942,spot,BRZ,USDT,,False,True,0.00010299721907508497,-0.0009260211955962548,-0.000514668039114771,2259611.70465,2259485.4827401782,
True,False,0.01,0.01,0.01,147.22,147.16,147.31,147.22,future,,,BSV,False,False,-0.003924221921515561,-0.060077890570133435,-0.05000967929276634,16981455.3416,16981455.3416,
True,False,0.01,0.01,0.01,147.75,147.12,147.45,147.45,future,,,BSV,False,False,0.002924772139844919,-0.058549355127059124,-0.04975188502932268,504436.6084,504436.6084,
True,False,0.01,0.01,0.01,148.46,148.38,148.59,148.46,future,,,BSV,False,False,-0.002150826724022046,-0.061864139020537126,-0.0514344131365408,56023.8918,56023.8918,
True,False,1.0,0.0001,0.001,34011.0,34011.0,34012.0,34011.0,future,,,BTC,False,True,0.0027419069520608526,-0.05158807618304007,-0.04428583471492399,2913514934.0082,2913514934.0082,
True,False,1.0,0.0001,0.0001,1492.0,1464.0,1490.0,1490.0,future,,,BTC,False,False,-0.059343434343434344,0.17230527143981117,0.30701754385964913,299682.5523,299682.5523,
True,False,1.0,0.0001,0.0001,1174.0,1174.0,1190.0,1174.0,future,,,BTC,False,False,0.03801945181255526,-0.029350971475816452,0.005136986301369863,173305.3611,173305.3611,
True,False,1.0,0.0001,0.0001,33937.0,33929.0,33938.0,33937.0,future,,,BTC,False,False,0.002570162481536189,-0.052065584760202226,-0.04553380582742716,88299262.2494,88299262.2494,
True,False,1.0,0.0001,0.0001,18811.0,18344.0,18550.0,18550.0,future,,,BTC,False,False,-0.0072250468290072254,0.12383375742154368,0.09724358216017982,5801.5063,5801.5063,
True,False,1.0,0.0001,0.0001,3048.0,3126.0,3217.0,3126.0,future,,,BTC,False,False,-0.0044585987261146496,-0.04782211392019494,0.04758713136729222,79036.6917,79036.6917,
True,False,1.0,0.0001,0.0001,3105.0,3090.0,3140.0,3105.0,future,,,BTC,False,False,-0.011146496815286623,-0.07644259369422962,-0.03601366035392735,53319.7634,53319.7634,
True,False,1.0,0.0001,0.0001,3239.0,3077.0,3141.0,3141.0,future,,,BTC,False,False,-0.00031826861871419476,-0.077262044653349,-0.006012658227848101,38476.6033,38476.6033,
True,False,1.0,0.0001,0.0001,3240.0,3078.0,3142.0,3142.0,future,,,BTC,False,False,0.0022328548644338117,-0.07615407233166716,-0.008520037866834964,46710.5324,46710.5324,
True,False,1.0,0.0001,0.0001,34232.0,34223.0,34232.0,34232.0,future,,,BTC,False,False,0.0013748720198917654,-0.05452135005247749,-0.04784156653315532,51910012.7746,51910012.7746,
True,False,1.0,0.0001,0.0001,11799.0,11706.0,11843.0,11799.0,future,,,BTC,False,False,-0.003715274845900532,-0.08683538425818435,-0.04461538461538461,43309.0967,43309.0967,
True,False,1.0,0.0001,0.0001,34923.0,34932.0,34962.0,34932.0,future,,,BTC,False,False,0.0018929616245052486,-0.057674669544105744,-0.049107142857142856,17149580.0315,17149580.0315,
True,False,1.0,0.0001,0.0001,14009.0,13253.0,13412.0,13412.0,future,,,BTC,False,False,-0.0005961251862891207,-0.0750982690848907,-0.046495094554244276,122802.4879,122802.4879,
True,False,5.0,0.0001,0.0001,175100.0,175100.0,175770.0,175100.0,spot,BTC,BRZ,,False,True,0.0053973357831878736,-0.05061403746577385,-0.04715261339210405,1972992.384,384141.6171648,
True,False,1.0,0.0001,0.0001,28725.0,28672.0,28775.0,28725.0,spot,BTC,EUR,,False,True,0.002617801047120419,-0.04984784334480021,-0.0428828468612555,30451.7743,36085.3525455,
True,False,0.1,0.0001,0.0001,311111.1,296301.3,300698.1,300698.1,spot,BTC,TRYB,,False,True,0.001959280943893591,-0.03631947989766398,-0.033470358338227084,1493.33328,170.0458605936,
True,False,1.0,0.0001,0.0001,34013.0,34021.0,34022.0,34021.0,spot,BTC,USD,,False,True,0.002741098797453431,-0.05152081184309571,-0.044139132389300964,285537880.0518,285537880.0518,
True,False,1.0,0.0001,0.0001,34029.0,34022.0,34037.0,34029.0,spot,BTC,USDT,,False,True,0.0032134433962264152,-0.05111259829345826,-0.04399494310998736,48229023.5905,48226329.51724224,
True,False,5e-08,1000.0,1000.0,0.00273055,0.00272995,0.00273195,0.00273055,future,,,BTT,False,False,-0.011100246269737796,-0.09751784769962983,-0.08053001986732666,5649716.78765,5649716.78765,
True,False,0.01,0.01,0.01,149.94,144.24,146.05,146.05,future,,,BYND,True,False,0.0,-0.0001369206544807284,-0.0001369206544807284,0.0,0.0,True
True,False,0.01,0.01,0.01,151.02,146.06,147.0,147.0,future,,,BYND,True,False,0.0,-0.00034002040122407346,-0.0008156606851549756,0.0,0.0,True
True,False,0.01,0.01,0.01,145.6,144.95,145.61,145.6,spot,BYND,USD,,True,True,0.0,0.0,0.0,0.0,0.0,True
